[2021-12-16 17:34:53.480] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:35:03.481] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:35:13.483] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:35:23.484] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:35:33.486] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:35:43.488] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:35:53.490] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:36:03.492] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:36:13.495] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:36:23.496] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:36:33.498] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:36:43.500] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:36:53.501] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:37:03.503] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:37:13.505] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:37:23.507] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:37:33.509] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:37:43.511] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:37:53.512] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:38:03.515] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:38:13.517] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:38:23.518] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:38:33.520] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:38:43.522] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:38:53.524] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:39:03.526] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:39:13.528] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:39:23.530] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:39:33.532] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:39:43.535] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:39:53.537] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:40:03.538] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:40:13.540] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:40:23.541] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:40:33.543] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:40:43.545] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:40:53.547] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:41:03.548] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:41:13.550] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:41:23.553] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:41:33.555] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:41:43.557] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:41:53.559] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:42:03.561] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:42:13.563] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:42:23.565] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:42:33.567] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:42:43.568] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:42:53.570] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:43:03.572] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:43:13.575] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:43:23.577] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:43:33.578] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:43:43.580] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:43:53.581] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:44:03.583] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:44:13.585] [error] mpd: Failed to connect to MPD: Connection refused
